title,release year,genre,key words,plot,run time /min,number of votes,rating
Sharknado,2013,Action|Adventure|Comedy|Horror|Sci-Fi|Thriller,school-bus|chainsaw|psychotronic-film|hurricane|shark|shark-feature|cult-film|disaster-film|rappelling|disaster|los-angeles-california|father-daughter-relationship|sharksploitation|killer-shark|spoof|horror-spoof|gore|blood-splatter|bitten-hand|eaten-alive|cgi|fisherman|absurdism|flood|exploding-car|scar|flying-fish|explosion|storm|propane-tank|helicopter|california|father-daughter-estrangement|tiger-shark|beverly-hills-california|storm-surge|school-bus-driver|hollywood-sign|waterspout|surfer|beach|shark-attack|tornado|hammerhead-shark|creature-feature|title-spoken-by-character|barstool|trash,"When a freak hurricane swamps Los Angeles, nature's deadliest killer rules sea, land, and air as thousands of sharks terrorize the waterlogged populace.",86,44265,3.3
The Normal Heart,2014,Drama|History|Romance,gay|gay-men's-health-crisis|hiv|aids-epidemic|new-york-city|gay-writer|fear-of-weakness|playwright|suicide-attempt|gay-slur|brother-brother-relationship|gay-kiss|gay-sex|death-of-boyfriend|loss-of-lover|death-of-lover|gay-marriage|gay-wedding|dying-from-aids|death-from-aids|fear-of-aids|aids-activism|death-of-friend|closeted-gay|internalized-homophobia|gay-jew|gay-romance|gay-love|gay-brother|gay-relationship|reference-to-ronald-reagan|survivor-guilt|gay-couple|gay-protagonist|gay-son|homophobia|gay-character|male-pubic-hair|sexual-revolution|fear-of-being-alone|anal-sex|new-york-native-the-newspaper|new-york-gay-men's-chorus|in-the-closet|gmhc|virus|fellatio|disease|christopher-street-manhattan|nudity|mother-son-relationship|father-son-relationship|jew|kaposi's-sarcoma|sex|f-word|bare-butt|lesbian|homosexual|manhattan-new-york-city|dying|promiscuity|seduction|argument|shouting|homosexual-kiss|male-male-kiss|gay-orgy|male-rear-nudity|male-nudity|male-underwear|jock-strap|loss-of-friend|funeral|dead-body|vomiting|protest|television|discrimination|hospital|gay-activism|aids|department-of-health|courage|chopsticks|fundraising|human-immunodeficiency-virus-positive|new-york-times-building|television-repairman|president|presidential-advisor|human-immunodeficiency-virus-acquired-immune-deficiency-syndrome|fired|taxi|the-white-house|activist|fight|politics|epidemic|blow-job|insurance-policy|pubic-hair|city-hall|hpa-23|dementia|contagious-disease|executive-director|national-institute-of-health|blowing-out-candles-on-a-birthday-cake|skin-cancer|the-pines-fire-island|sex-outside|drag-queen|biohazard|flash-camera|photographer|tiredness|microphone|slow-motion-scene|poster|surgical-mask|sports-car|song|singing|singer|church|coffin|revealing-a-secret|throwing-a-tv-camera-out-a-window|loss-of-virginity|pier|statue-of-liberty|running|jogging|erection|bloody-nose|choreographer|laundry-room|outing-someone|feeding-someone|peer-review-panel|airplane-stewardess|slide-show|egotist|civil-disobedience|letter|throwing-groceries|milk|date|cane|sitting-on-a-toilet|hero|pilot|guilt|undressing-someone|undressing|soiled-bed-linen|making-a-bed|social-worker|carrying-a-dead-body|garbage-bag|orderly|voice-over-narration|condom|last-will-and-testament|stubbornness|sitting-on-the-floor|gurney|actor|snow|kiss|35-year-old|45-year-old|football|newspaper-office|psychiatrist|therapy|ferry|almost-hit-by-a-car|man-carrying-a-man|science|waiter|emergency-room|shame|self-respect|memorial-service|reading-a-newspaper|eyeglasses|wheelchair|ice-cream|looking-at-oneself-in-a-mirror|mirror|mother-son-reunion|swimsuit|mayor|record-player|recording|subjective-camera|leg-braces|cigarette-smoking|runway-model|fashion-show|male-model|makeup|restaurant|cafe|beer|german|prologue|fear|typewriter|lawyer|dignity|crutches|anger|overhead-shot|bathroom|washington-d.c.|drinking|drink|wine|dancing|dancer|mirror-ball|disco|party|birthday-cake|crying|bureaucracy|u.s.-government|ex-soldier|green-beret|yale-university|friendship|friend|board-of-directors|flash-forward|flashback|blood|medical-exam|food|hairy-chest|hotline|telephone|telephone-call|dog|plague|punched-in-the-face|man-in-swimsuit|speedo|man-crying|subway|weight-loss|lesion|paraplegic|female-doctor|doctor|flirting|man-in-towel|man-wearing-towel|orgy|briefs|bathhouse|fire-island|year-1983|year-1982|year-1981|loss-of-boyfriend|ashes|airplane|shower|wet-underwear|male-in-shower|first-date|apartment|bar|research|desk|rolodex|cough|picket|camera|television-reporter|interview|newsroom|new-york-times-the-newspaper|bare-chested-male|beach|hug|writer|reporter|newspaper-reporter|hospital-gown,A gay activist attempts to raise H.I.V. and A.I.D.S. awareness during the early 1980s.,132,31793,7.9
The Sunset Limited,2011,Drama,minimal-cast|dialogue-between-two-characters|suicide-attempt|dialogue-driven|atheist|atheism|religion|faith|single-set-production|belief|apartment|directed-by-star|bible|single-room-apartment|huis-clos|duo|two-hander|dialogue|based-on-play,"Through a chance encounter, two men of opposing ideologies deliberate spiritual, philosophical, and profound matters in a New York City apartment.",91,26733,7.4
Temple Grandin,2010,Biography|Drama,cattle|animal-husbandry|livestock|autism|feeding-a-horse|sensory-overload|diagnosis|scientist|prejudice|phd|book|design|cattle-ranch|college|reference-to-jean-paul-sartre|horseback-riding|black-and-white-scene|female-protagonist|deodorant|cafeteria|wristwatch|soldier|pig|bed|ironing|feeling-a-cow's-heartbeat|school-expulsion|reference-to-life-magazine|dead-horse|sputnik|respect|arizona-farmer-ranchman-the-publication|reference-to-mr.-spock|corral|security-guard|helmet|reference-to-you'll-never-walk-alone-the-song|reference-to-carousel-the-stage-musical|stable|newspaper-advertisement|visualization|teenage-girl|infantile-schizophrenia|hampshire-country-school|cowboy|remote-control|watching-a-movie-on-tv|watching-a-movie|walking-in-circles|reference-to-god|reference-to-jesus-christ|woman-pretending-to-be-a-man|national-autism-convention|cruelty|bronxville-new-york|death-of-a-horse|reference-to-doctor-doolittle|boston-massachusetts|blind-student|abnormal-behavior|devoted-mother|compassion|teacher-student-relationship|yoghurt|character-name-as-title|temple-grandin-character|woman|based-on-real-person|bad-singing|bechdel-test-passed|slow-motion|cane|rejection|pajamas|tension|wheelbarrow|measuring-tape|excitability|aquarium|bubble-lens-camera-shot|dog|nasa|surrealism|rooster|overhead-camera-shot|suitcase|reference-to-new-york-magazine|animal-drowning|film-camera|cattleman|cattle-shute|bull-pen|cattle-prod|volkswagen|stockyard|toy-airplane|ladder|throwing-graduation-caps-into-the-air|barn|newspaper|tv-commercial|chalk|frustration|gate-construction|drill|saw|guillotine|eating|food|harvard-university|swing|sketching|drawing|flashlight-under-covers|ceiling-fan|flashback|franklin-pierce-college|visual-perspective|optical-illusion|air-vent|learning-a-language|station-wagon|reference-to-albert-einstein|pickup-truck|scientific-research|umbrella|rain|year-1975|watching-tv|writer|crutches|masters-thesis|graduate-student|opening-a-door|coffin|funeral|year-1981|year-1970|year-1962|year-1951|year-1966|uncle-niece-relationship|classroom|class|go-kart|punched-in-the-face|squeeze-machine|squeezing|flashlight|typewriter|photograph|animated-opening-credits|arizona|airport|airplane|sunglasses|answering-machine|beef|psychotherapy|girl|rolling-around|spinning|audio-flashback|audio-montage|microphone|overalls|meat-processing-plant|underwater-scene|rocket-launching|automatic-door|bull-testicles|chain|arizona-state-university|auctioneer|auction|rodeo|merry-christmas|love|pride|party|blindness|mooing-like-a-cow|fantasy-sequence|killing-a-cow|high-school-graduation|graduation|graduation-cap-and-gown|christmas|pretending-to-be-a-cow|bullying|bully|anxiety|doctor|pain|tantrum|pay-phone|telephone-call|inoculation|archive-footage|newsreel-footage|gate|animated-sequence|sense-of-smell|sense-of-touch|hugging|researcher|research|sexist|scottsdale-arizona|feedlot|tears|crying|reading|running|fear|cow|new-hampshire|montage|photographic-memory|geometry|talking-to-the-camera|subjective-camera|science|science-experiment|empathy|panic-attack|character's-point-of-view-camera-shot|reference-to-john-f.-kennedy|1970s|1960s|1950s|perseverance|inhumane-treatment|graduation-speech|cattle-auction|animal-advocate|animal-cruelty|animal-abuse|animal's-point-of-view|animal-handler|animal-behavior|death|death-of-an-animal|agitation|discrimination|cattle-rancher|autistic-savant|based-on-autobiography|autistic-child|disability|farm|aunt-niece-relationship|sexism|memory|black-and-white-television|blind-woman|roommate|slaughterhouse|cattle-dip|horse|magazine-article|magazine-editor|master's-degree|bachelor's-degree|school-bully|convention|science-teacher|science-class|boarding-school|mother-daughter-relationship|death-of-friend|based-on-book|title-spoken-by-character|colorado-state-university|miracle|uncle-nephew-relationship|father-son-relationship|ice-cream-cone|schizophrenic|schizophrenia|claustrophobia|reference-to-lyndon-johnson|androgyny,"A biopic of Temple Grandin, an autistic woman who has become one of the top scientists in the humane livestock handling industry.",107,25551,8.3
You Don't Know Jack,2010,Biography|Drama,suicide|assisted-suicide|moral-dilemma|morality|suppressed-truth|media-manipulation|suffering|pain|murder|terminal-illness|death-of-sister|paralysis|lethal-injection|suicide-by-gas|euthanasia|death-of-friend|supreme-court|right-to-die|moral|scenario-which-perverts-facts|magazine-cover|hunger-strike|not-guilty-verdict|guilty-verdict|courtroom-stunt|court-case|candidate|dying-words|courtroom|paralytic|lou-gehrigs-disease|burn-victim|grief|cancer|pillory|based-on-true-story|armenian|michigan|governor|lawyer|interview|intravenous|four-word-title|cartoon-on-tv|faygo|woman-with-glasses|man-with-glasses|pun-in-title|contraction-in-title|tv-interview|taped-interview|tv-news|detroit-michigan|friendship|time-magazine|protestors|picket-line|costume|hospital-bed|hospital|election|protest|picket-sign|typewriter|district-attorney|attorney|gas|chemical|contraption|van|brother-sister-relationship|physician|prosecuting-attorney|politics|defense-attorney|sixty-minutes|judge|publicity-stunt|punctuation-in-title|apostrophe-in-title|doctor|character-name-in-title,A look at the life and work of doctor-assisted suicide advocate Jack Kevorkian.,134,25404,7.6
Game Change,2012,Biography|Drama|History,american-politics|cell-phone|down-syndrome|presidential-election|21th-century|2000s|united-states-of-america|usa|woman|female-politician|man|alaska|script|election|governor|running|2008-presidential-election|candidate|vice-presidential-candidate|conservative|debate|rogue|campaign|interview|government|political-candidate|campaigning|presidential-campaign|presidential-candidate|throwing-a-cell-phone|speech|catatonic-stupor|war-on-terror|foreign-policy-adviser|british-prime-minister|england|eskimo|russia|south-korea|north-korea|st.-paul-minnesota|dayton-ohio|u.s.-congress|speaking-in-tongues|state-fair|media-strategist|political-convention|computer|atm-machine|stem-cell-research|charisma|reference-to-fox-network|note-card|grapefruit|reference-to-jeb-bradley|reference-to-joe-biden|reference-to-bangladesh|american-populism|moose-hunter|vespa|circular-staircase|reference-to-mikheil-saakashvili|u.s.-federal-reserve-system|reference-to-charles-gibson|doctor|reference-to-halcro|muslim|pennsylvania|south-carolina|flip-flop|political-campaign-manager|reference-to-myspace|reference-to-vladimir-putin|jewish|democrat|reference-to-mitt-romney|reference-to-michael-bloomberg|mayor|reference-to-meg-whitman|husband-wife-relationship|paternity|clothing|father-daughter-relationship|father-son-relationship|mother-daughter-relationship|mother-son-relationship|tv-commercial|attorney|pro-choice|pro-life|fired-from-the-job|press-secretary|17-year-old|72-year-old|iraq|reference-to-msnbc|reference-to-cnn|e-mail|promise|religion|sacramento-california|newsreel-footage|archive-footage|creationism|evolution|pollster|bridge-to-nowhere|hero|reference-to-youtube|reference-to-ted-stevens|philadelphia-pennsylvania|hotel|voting|phoenix-arizona|reference-to-geraldine-ferraro|u.s.-secret-service|washington-d.c.|reference-to-sax-fifth-avenue|reference-to-reverend-jeremiah-wright|reference-to-hillary-clinton|reference-to-wikipedia|reference-to-thomas-jefferson|reference-to-abraham-lincoln|reference-to-darth-vader|reference-to-dick-cheney|reference-to-rush-limbaugh|reference-to-george-w.-bush|money|nervous-breakdown|mental-instability|egotism|montage|christian|memorization|irrationality|jogging|newspaper-headline|reading-a-newspaper-aloud|reading-a-newspaper|naivety|paranoia|reference-to-diet-dr.-pepper|apology|newspaper|drinking|drink|beer|teleprompter|reference-to-jesus-christ|stupidity|microphone|speechwriter|private-jet|airplane|family-relationships|florida|teenage-pregnancy|pregnancy|reference-to-god|u.s.-vice-president|looking-at-oneself-in-a-mirror|mirror|prayer|birthday|vfw|american-legion|watching-tv|year-2007|telephone|telephone-call|year-2008|new-hampshire|u.s.-politician|politics|u.s.-senator|political-rally|u.s.-presidential-election|u.s.-presidential-campaign|breaking-a-cellphone|u.s.-politics|acceptance-speech|convention|f-word|political-satire|election-tour|campaign-rally|tv-reporter|bus|political-strategist|left-wing|news-footage|political-campaign|campaign-manager|republican-party|republican-national-convention|republican|tv-interview|tv-debate|reference-to-ronald-reagan|hotel-room|arizona|sedona-arizona|american-soldier|praying|pregnant-daughter|smear-campaign|election-day|racism|voting-results|election-coverage|election-campaign|election-night|election-returns|male-underwear|politician|based-on-book,Governor Sarah Palin of Alaska becomes Senator John McCain's running mate in the 2008 Presidential election.,118,20092,7.4
Princess Protection Program,2009,Comedy|Drama|Family,princess|dictator|teenager|protection|louisiana|bait|bait-shop|school|general|f-rated|disney-channel-original-movie|female-protagonist|alliterative-title|three-word-title|wilhelm-scream|rural-setting|romantic-rivalry|widow|widower|tomboy|secret-organization|ice-cream-cone|best-friend|walking-with-a-book-on-one's-head|volunteer|unrequited-love|unpopularity|trying-to-fit-in|treason|traitor|tiara|thrift-store|tabloid|sword|school-dance|rumor|royalty|riches-to-rags|reluctant-to-marry|reference-to-william-shakespeare|popularity|political-uprising|makeover|loss-of-father|locket|live-bait|kidnapping|hostage|homecoming|homecoming-dance|high-school-dance|haircut|fish|fisherman|filmmaker|fictional-country|fake-identity|double-agent|documentary-filmmaker|dance|coup|coronation|convertible|charity|bus-driver|burp|burping|bowling|blackmail|belching|arrest|arranged-marriage|applause|video-camera|swimming-pool|speech|soda|mask|island|helicopter|french-teacher|french-class|crown|belch|worm|unlikely-friendship|tutor|teenage-girl|spanish-language|small-town|security|school-bus|queen|nation|name-change|mother-daughter-relationship|military-coup|lizard|library|jealousy|identity|ice-cream-parlor|homecoming-queen|high-school|hamburger|government-agent|friendship|fish-out-of-water|father-daughter-relationship|dress|designer|confidence|bowling-alley|bowing|assumed-identity|alligator|death-of-father,"A princess whose country has been invaded goes into hiding in Louisiana, where she has to learn to act like an ordinary teenager.",90,20083,5.6
Mean Girls 2,2011,Comedy,sexiness|dream-girl|short-skirt|miniskirt|teenage-girl|hard-body|frilly-skirt|schoolgirl|repeat-sequel|short-dress|skirt|blonde-girl|girl-wears-a-minidress|girl-wears-a-miniskirt|girl-wears-a-short-dress|girl-wears-a-short-skirt|minidress|micro-miniskirt|clique|meanness|misunderstanding|direct-to-video-sequel-to-theatrical-movie|second-part|f-rated|female-protagonist|title-directed-by-female|numbered-sequel|sequel|number-in-title,"The Plastics are back in the long-awaited follow-up to the smash hit Mean Girls - and now the clique is more fashionable, funny, and ferocious than ever.",96,19579,4.1
The Wizard of Lies,2017,Biography|Crime|Drama,financial-fraud|financier|ponzi-scheme|fraudster|fraud|reference-to-bernie-madoff,"The fall of Bernie Madoff, whose Ponzi scheme robbed $65 billion from unsuspecting victims; the largest fraud in U.S. history.",133,19471,6.8
Sharknado 2: The Second One,2014,Action|Adventure|Comedy|Horror|Sci-Fi|Thriller,second-part|john-f.-kennedy-international-airport|new-york-city-new-york|psychotronic-film|storm-surge|shark-feature|spoof|absurdism|female-pilot|killed-sitting-on-toilet|tank-top|explosive-decompression|scene-during-end-credits|machete|garbage-truck|new-york-mets|baseball-game|baseball-bat|improvised-weapon|sewer|woman-sitting-on-a-toilet|face-bitten-off|arm-bitten-off|duct-tape|great-white-shark|empire-state-building|reference-to-batman|impalement|shark-attack|chainsaw|eaten-alive|slingshot|freon-gas|severed-arm|sucked-into-jet-engine|crash-landing|hand-bitten-off|head-bitten-off|statue-of-liberty|plane-crash|severed-hand|swallowed-whole|sequel-to-cult-favorite|tornado|blood-splatter|shark|airplane|sequel,"Fin and April are on their way to New York City, until a category seven hurricane spawns heavy rain, storm surges, and deadly Sharknadoes.",95,17067,4.0
